# Constructed from biom file
OTU ID	sample-126	sample-96	sample-6	sample-110	sample-193	sample-115	sample-169	sample-90	sample-92	sample-131	sample-208	sample-133	sample-128	sample-101	sample-125	sample-201	sample-3	sample-83	sample-120	sample-188	sample-158	sample-197	sample-51	sample-60	sample-198	sample-204	sample-12	sample-2	sample-93	sample-171	sample-177	sample-10	sample-5	sample-9	sample-210	sample-32	sample-162	sample-199	sample-107	sample-27	sample-26	sample-35	sample-99	sample-11	sample-129	sample-135	sample-187	sample-212	sample-155	sample-190	sample-174	sample-186	sample-123	sample-173	sample-127	sample-58	sample-180	sample-41	sample-56	sample-118	sample-168	sample-97	sample-137	sample-145	sample-159	sample-66	sample-104	sample-211	sample-36	sample-22	sample-20	sample-106	sample-141	sample-144	sample-50	sample-167	sample-87	sample-183	sample-85	sample-67	sample-151	sample-38	sample-19	sample-17	sample-105	sample-150	sample-205	sample-1	sample-175	sample-100	sample-81	sample-148	sample-213	sample-136	sample-196	sample-91	sample-111	sample-142	sample-89	sample-116	sample-176	sample-209	sample-172	sample-149	sample-181	sample-34	sample-33	sample-161	sample-7	sample-57	sample-82	sample-43	sample-117	sample-203	sample-40	sample-75	sample-191	sample-29	sample-119	sample-21	sample-143	sample-166	sample-76	sample-46	sample-4	sample-95	sample-164	sample-68	sample-13	sample-103	sample-61	sample-72	sample-47	sample-184	sample-163	sample-134	sample-109	sample-28	sample-16	sample-44	sample-45	sample-140	sample-49	sample-178	sample-39	sample-53	sample-146	sample-160	sample-69	sample-15	sample-138	sample-102	sample-80	sample-157	sample-71	sample-153	sample-207	sample-18	sample-112	sample-48	sample-124	sample-156	sample-64	sample-170	sample-63	sample-202	sample-139	sample-108	sample-86	sample-30	sample-78	sample-37	sample-189	sample-192	sample-25	sample-79	sample-122	sample-98	sample-165	sample-31	sample-154	sample-55	sample-132	sample-70	sample-23	sample-84	sample-121	sample-200	sample-94	sample-185	sample-114	sample-14	sample-88	sample-42	sample-206	sample-152	sample-8	sample-24	sample-130	sample-54	sample-77	sample-59	sample-62	sample-147	sample-195	sample-73	sample-65	sample-194	sample-74	sample-113	sample-179	sample-182
e11db671d9c36b550f08a6ee36ba2cef	5976.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	838.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1065.0	758.0	104.0	0.0	0.0	0.0	0.0	0.0	1298.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	1038.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	288.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.0	0.0	0.0	257.0	0.0	0.0	0.0	0.0	4342.0	42.0	553.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	755.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c4550d3acc48fd85b1be4c069c7787ec	4319.0	239.0	788.0	239.0	4064.0	594.0	776.0	0.0	877.0	309.0	9.0	0.0	0.0	2.0	54.0	147.0	0.0	186.0	4984.0	0.0	0.0	382.0	2.0	0.0	1231.0	450.0	0.0	69.0	0.0	1851.0	102.0	0.0	104.0	7970.0	0.0	1510.0	0.0	1610.0	0.0	1301.0	7.0	8117.0	365.0	2.0	2722.0	680.0	1287.0	0.0	0.0	0.0	0.0	3.0	816.0	350.0	234.0	0.0	3565.0	0.0	0.0	574.0	28.0	0.0	6838.0	2.0	827.0	0.0	3203.0	359.0	82.0	0.0	0.0	706.0	0.0	0.0	1419.0	0.0	0.0	5278.0	851.0	590.0	0.0	1403.0	954.0	5.0	2.0	67.0	161.0	0.0	2.0	0.0	267.0	1873.0	36.0	1416.0	0.0	0.0	215.0	0.0	12801.0	57.0	1807.0	43.0	0.0	102.0	9.0	1116.0	178.0	430.0	20.0	0.0	2.0	0.0	0.0	1745.0	3.0	42.0	0.0	7878.0	0.0	0.0	791.0	0.0	1353.0	0.0	4217.0	0.0	0.0	3453.0	7.0	851.0	2102.0	1211.0	577.0	700.0	645.0	0.0	95.0	514.0	35.0	56.0	1298.0	99.0	0.0	1648.0	1095.0	2.0	0.0	1679.0	51.0	113.0	3.0	0.0	35.0	0.0	680.0	0.0	0.0	89.0	3.0	0.0	808.0	0.0	0.0	971.0	1237.0	1052.0	169.0	0.0	0.0	94.0	3174.0	1339.0	2122.0	166.0	212.0	46.0	246.0	0.0	182.0	0.0	255.0	0.0	0.0	44.0	6.0	0.0	12.0	0.0	0.0	1.0	258.0	0.0	0.0	0.0	59.0	1874.0	1288.0	0.0	2513.0	0.0	0.0	121.0	5941.0	2.0	0.0	9565.0	0.0	0.0	0.0	1002.0	0.0	0.0
bdf290773361d3131d20cbc744c26b5d	2422.0	853.0	10625.0	7.0	0.0	2687.0	8590.0	809.0	640.0	440.0	2900.0	2334.0	6704.0	5327.0	446.0	657.0	0.0	2595.0	2.0	4855.0	3735.0	2710.0	0.0	8131.0	382.0	0.0	6849.0	1915.0	1769.0	2812.0	342.0	640.0	685.0	6912.0	953.0	3293.0	8001.0	5424.0	419.0	525.0	737.0	13055.0	1803.0	11361.0	17799.0	72.0	5481.0	1605.0	11324.0	5238.0	0.0	13.0	1030.0	2269.0	15972.0	2913.0	4485.0	1705.0	2474.0	0.0	8782.0	5106.0	94.0	10405.0	5797.0	7661.0	4138.0	520.0	690.0	15055.0	0.0	6314.0	9561.0	4924.0	876.0	5480.0	6440.0	0.0	9507.0	2951.0	3305.0	0.0	0.0	6511.0	0.0	88.0	76.0	4734.0	960.0	14205.0	5926.0	4157.0	4126.0	2282.0	10640.0	0.0	2403.0	5139.0	10.0	419.0	995.0	1456.0	14298.0	281.0	1548.0	4665.0	6984.0	1447.0	14696.0	0.0	11190.0	5427.0	9865.0	2515.0	7425.0	426.0	7281.0	0.0	4620.0	6117.0	706.0	0.0	3925.0	4566.0	0.0	9971.0	0.0	539.0	304.0	3588.0	92.0	0.0	9043.0	4402.0	2534.0	0.0	9786.0	0.0	1191.0	2304.0	6734.0	809.0	7685.0	0.0	1299.0	8329.0	0.0	2413.0	19.0	672.0	5384.0	5494.0	0.0	8177.0	238.0	2389.0	6499.0	7.0	5361.0	2.0	3208.0	10574.0	903.0	1386.0	6912.0	181.0	6.0	2.0	1579.0	1151.0	0.0	1739.0	4760.0	103.0	550.0	1347.0	3004.0	3682.0	1048.0	4.0	217.0	9156.0	4.0	993.0	3656.0	6088.0	5894.0	3127.0	10352.0	6532.0	9304.0	0.0	4350.0	9687.0	3506.0	6553.0	259.0	3123.0	0.0	0.0	0.0	3806.0	11.0	1162.0	6676.0	1318.0	0.0	2351.0	2.0	1832.0	9192.0	7841.0
774848ad9fc6aed89b277da2bf58c547	1969.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	343.0	0.0	590.0	0.0	37.0	1.0	0.0	0.0	0.0	0.0	0.0	259.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1151.0	384.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	721.0	0.0	0.0	0.0	3585.0	0.0	0.0	1166.0	0.0	0.0	0.0	0.0	0.0	0.0
560ba9d582f5c51adc48f2e281d4c1a0	703.0	0.0	278.0	30.0	84.0	212.0	26.0	0.0	15.0	67.0	84.0	0.0	0.0	0.0	18.0	6.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	825.0	4.0	0.0	74.0	183.0	518.0	0.0	0.0	3.0	0.0	0.0	406.0	0.0	183.0	0.0	105.0	0.0	192.0	28.0	0.0	770.0	10.0	175.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	61.0	0.0	0.0	0.0	0.0	47.0	2.0	0.0	0.0	0.0	0.0	0.0	958.0	0.0	2.0	113.0	0.0	816.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	875.0	70.0	0.0	3.0	0.0	0.0	0.0	0.0	8.0	80.0	4.0	34.0	0.0	0.0	2.0	0.0	2.0	17.0	96.0	25.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	5.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	257.0	0.0	0.0	0.0	24.0	0.0	0.0	386.0	0.0	322.0	65.0	42.0	236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1286.0	0.0	0.0	35.0	380.0	107.0	0.0	105.0	0.0	181.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	104.0	0.0	0.0	4.0	0.0	0.0	1143.0	558.0	139.0	21.0	0.0	0.0	432.0	204.0	13.0	166.0	14.0	0.0	0.0	143.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	750.0	12.0	0.0	22.0	0.0	7.0	92.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fdd2c9198b8ece675814c1ee649d7a10	640.0	0.0	0.0	51.0	357.0	14.0	398.0	0.0	147.0	17.0	356.0	0.0	0.0	0.0	9.0	48.0	0.0	57.0	456.0	0.0	0.0	0.0	0.0	0.0	188.0	28.0	0.0	35.0	1473.0	24.0	10.0	20.0	5.0	1064.0	1247.0	40.0	0.0	51.0	0.0	12.0	2.0	213.0	670.0	0.0	275.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	19.0	32.0	51.0	0.0	0.0	102.0	0.0	5.0	2060.0	0.0	0.0	0.0	248.0	6.0	8.0	0.0	0.0	173.0	0.0	0.0	296.0	0.0	0.0	882.0	21.0	10.0	0.0	95.0	2002.0	0.0	0.0	28.0	7.0	0.0	0.0	0.0	55.0	0.0	15.0	6.0	0.0	0.0	24.0	0.0	0.0	4.0	194.0	18.0	0.0	3.0	256.0	0.0	6.0	24.0	0.0	0.0	0.0	0.0	47.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	34.0	42.0	0.0	294.0	0.0	0.0	163.0	9.0	100.0	0.0	141.0	0.0	32.0	0.0	0.0	0.0	73.0	7.0	5.0	2479.0	31.0	0.0	134.0	13.0	3.0	0.0	42.0	20.0	50.0	0.0	0.0	0.0	62.0	3.0	1258.0	0.0	313.0	0.0	0.0	62.0	0.0	0.0	616.0	392.0	43.0	24.0	0.0	195.0	0.0	95.0	50.0	0.0	21.0	8.0	2.0	55.0	0.0	2.0	0.0	6.0	0.0	1907.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	12.0	0.0	0.0	9.0	78.0	10.0	0.0	810.0	0.0	1885.0	0.0	87.0	0.0	0.0	2269.0	300.0	176.0	0.0	0.0	2.0	0.0
046a3fd132d5514833c7e8a743d92476	535.0	30.0	278.0	53.0	106.0	493.0	484.0	0.0	345.0	133.0	1230.0	0.0	0.0	0.0	26.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.0	446.0	39.0	0.0	30.0	69.0	207.0	108.0	0.0	81.0	1177.0	633.0	481.0	985.0	366.0	0.0	81.0	4.0	91.0	70.0	0.0	1439.0	152.0	308.0	0.0	0.0	0.0	0.0	0.0	1588.0	288.0	59.0	29.0	286.0	13.0	0.0	63.0	0.0	0.0	51.0	161.0	0.0	0.0	506.0	205.0	77.0	0.0	0.0	365.0	0.0	1995.0	194.0	6632.0	0.0	485.0	635.0	133.0	0.0	0.0	1321.0	0.0	0.0	79.0	129.0	0.0	0.0	0.0	115.0	230.0	276.0	349.0	0.0	0.0	41.0	0.0	0.0	2.0	10.0	399.0	0.0	0.0	32.0	221.0	12.0	159.0	28.0	0.0	0.0	0.0	0.0	322.0	0.0	71.0	0.0	0.0	0.0	0.0	226.0	61.0	103.0	0.0	274.0	0.0	0.0	175.0	5.0	766.0	385.0	599.0	760.0	122.0	362.0	0.0	0.0	156.0	22.0	268.0	0.0	60.0	0.0	308.0	55.0	0.0	0.0	137.0	30.0	128.0	0.0	0.0	104.0	119.0	145.0	0.0	0.0	217.0	0.0	0.0	438.0	924.0	0.0	306.0	770.0	80.0	238.0	0.0	0.0	5.0	149.0	241.0	572.0	23.0	167.0	18.0	286.0	461.0	49.0	0.0	222.0	0.0	0.0	38.0	5.0	0.0	0.0	955.0	55.0	17.0	207.0	0.0	0.0	2.0	61.0	350.0	169.0	0.0	1252.0	2.0	0.0	45.0	714.0	15.0	0.0	910.0	0.0	224.0	0.0	0.0	2.0	0.0
d88c4a309d3337053f4994049588ee8e	188.0	0.0	73.0	41.0	0.0	0.0	0.0	0.0	94.0	0.0	243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	84.0	1002.0	0.0	107.0	0.0	0.0	0.0	23.0	9.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	500.0	9.0	0.0	0.0	0.0	598.0	307.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	54.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	1642.0	0.0	0.0	15.0	26.0	0.0	81.0	0.0	0.0	64.0	0.0	0.0	0.0	72.0	23.0	43.0	0.0	0.0	0.0	2.0	11.0	0.0	0.0	0.0	226.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	98.0	0.0	0.0	45.0	0.0	0.0	0.0	15.0	51.0	0.0	19.0	15.0	17.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	29.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f30bbd01b14d0d7b1afedcd3fface543	180.0	3.0	0.0	0.0	76.0	0.0	7.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	34.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	9.0	2.0	0.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	18.0	6.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	35.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
a682533084e1a3056a1ffa272d7371f3	159.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	2.0	24.0	0.0	0.0	103.0	0.0	0.0	11.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	187.0	31.0	0.0	22.0	70.0	0.0	1.0	0.0	37.0	0.0	0.0	2.0	0.0	0.0	0.0	34.0	0.0	7.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	26.0	468.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	40.0	10.0	332.0	4.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	28.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	178.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	80.0	5.0	0.0	0.0	10.0	0.0	0.0	0.0	26.0	24.0	0.0	0.0	11.0	0.0	27.0	10.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	33.0	0.0	1259.0	2.0	0.0	20.0	21.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	65.0	15.0	0.0	96.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0
