# Constructed from biom file																																																																																																																																																																																																																																																						
OTU ID	sample-126	sample-79	sample-247	sample-58	sample-110	sample-193	sample-229	sample-115	sample-36	sample-169	sample-131	sample-208	sample-133	sample-128	sample-101	sample-125	sample-31	sample-4	sample-42	sample-201	sample-85	sample-83	sample-47	sample-39	sample-120	sample-61	sample-74	sample-93	sample-65	sample-188	sample-158	sample-45	sample-197	sample-215	sample-224	sample-198	sample-76	sample-204	sample-241	sample-12	sample-2	sample-171	sample-177	sample-10	sample-210	sample-82	sample-250	sample-49	sample-162	sample-23	sample-234	sample-107	sample-223	sample-225	sample-62	sample-63	sample-22	sample-11	sample-129	sample-73	sample-248	sample-135	sample-232	sample-187	sample-98	sample-43	sample-212	sample-155	sample-190	sample-174	sample-186	sample-230	sample-123	sample-173	sample-127	sample-9	sample-180	sample-118	sample-168	sample-88	sample-242	sample-95	sample-235	sample-29	sample-137	sample-145	sample-159	sample-78	sample-26	sample-104	sample-211	sample-94	sample-20	sample-106	sample-144	sample-167	sample-183	sample-25	sample-91	sample-151	sample-68	sample-99	sample-19	sample-70	sample-17	sample-246	sample-105	sample-150	sample-72	sample-205	sample-1	sample-175	sample-100	sample-34	sample-218	sample-86	sample-53	sample-52	sample-214	sample-213	sample-136	sample-92	sample-196	sample-111	sample-142	sample-46	sample-87	sample-116	sample-176	sample-33	sample-249	sample-209	sample-172	sample-149	sample-181	sample-60	sample-161	sample-54	sample-222	sample-117	sample-244	sample-89	sample-203	sample-191	sample-24	sample-84	sample-119	sample-219	sample-143	sample-28	sample-166	sample-216	sample-164	sample-13	sample-103	sample-3	sample-40	sample-184	sample-48	sample-233	sample-220	sample-163	sample-134	sample-109	sample-16	sample-77	sample-226	sample-237	sample-8	sample-6	sample-238	sample-140	sample-178	sample-44	sample-217	sample-67	sample-146	sample-81	sample-160	sample-239	sample-15	sample-138	sample-102	sample-97	sample-157	sample-236	sample-153	sample-51	sample-207	sample-18	sample-112	sample-240	sample-228	sample-245	sample-124	sample-156	sample-170	sample-71	sample-202	sample-139	sample-108	sample-189	sample-192	sample-90	sample-64	sample-55	sample-122	sample-165	sample-35	sample-154	sample-5	sample-132	sample-121	sample-200	sample-185	sample-114	sample-32	sample-14	sample-41	sample-7	sample-21	sample-38	sample-96	sample-231	sample-227	sample-206	sample-152	sample-37	sample-57	sample-130	sample-56	sample-30	sample-243	sample-80	sample-69	sample-59	sample-147	sample-195	sample-194	sample-75	sample-113	sample-27	sample-50	sample-179	sample-182	sample-66
dd7ac967487b206e3476ad390849579c	3454	2216	0	4638	570	0	0	62	5407	0	8	0	2247	3576	0	2	172	0	30	3	449	2434	714	0	2875	1558	0	370	0	0	0	0	0	0	0	0	2	0	0	4	2	0	0	1140	0	6819	0	0	0	3205	0	1347	0	0	1414	0	314	2532	3433	24	0	5	0	2	1641	618	0	4	0	0	0	0	1480	0	3016	10	0	1307	0	211	0	103	0	20846	13568	0	0	7311	5059	4	0	7	1708	0	1007	0	0	148	4482	0	0	10241	0	917	1984	0	97	0	2935	4	908	0	4742	0	0	1313	5444	4	0	0	1491	0	0	0	1703	3887	976	5	0	2019	0	3	0	0	0	2076	0	9712	2	793	0	907	0	0	2058	5	0	0	364	2249	0	2	0	21	1224	0	1006	0	9371	0	0	3	22547	3015	1932	5308	0	0	7909	4	0	66	4	0	0	1366	2	2720	0	0	192	694	0	2015	0	0	0	0	0	3293	786	0	0	0	0	0	0	21558	0	3725	0	0	3	5	387	461	752	0	2117	0	125	2494	856	0	0	1207	1477	3755	0	4439	11	0	151	0	0	0	0	2448	848	3	2465	8	0	0	0	1837	0	0	3	0	48	7309	9492	0	2	5
a55083d6821b6fdfee4ba2e9f40fc38d	2086	18	0	2	0	0	0	0	3	0	0	0	3	1235	0	0	8	0	0	0	0	82	0	187	0	4	132	156	0	1	0	3	0	0	0	0	0	0	0	3346	90	0	5	5	0	886	0	233	0	0	0	0	0	0	1	123	0	9	5	157	0	0	0	2	19	4	0	0	0	2	0	0	116	0	17	633	0	46	0	6	0	289	0	0	9	0	1	1	36	0	0	0	0	359	0	0	0	7	3	0	0	65	0	143	348	0	2	0	71	0	331	0	4	0	0	0	265	0	0	0	0	1532	0	4	0	537	1052	0	0	0	0	0	0	0	0	6	0	182	0	0	0	28	0	0	51	83	0	0	0	0	0	0	0	8	10	0	1254	0	5	0	0	0	0	2	1	314	0	0	52	5	0	0	2	2	0	6	0	0	0	0	16	0	0	0	0	0	0	0	0	42	0	0	0	0	22	0	0	0	0	28	1	0	3	23	710	0	0	0	9	0	1507	8	6	0	2	0	7	2458	1711	0	0	5	0	0	0	0	0	17	2	2209	10	0	0	0	0	0	0	0	0	45	2	47	3	0	0	27
85cadf1a3ad1c248dd14115572b4b651	1243	563	0	151	0	0	0	0	0	0	5	0	0	0	0	0	268	0	0	2	536	5074	0	0	0	0	0	261	0	0	0	39	0	0	0	0	0	0	0	0	268	0	0	0	0	659	0	0	0	0	0	166	0	0	0	3	17	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	0	427	56	0	0	0	2	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	138	0	0	2543	1455	0	1214	0	0	0	0	59	0	1070	0	0	0	0	0	86	7	0	0	0	0	0	0	0	0	436	0	0	63	0	0	0	0	0	0	0	0	0	0	0	277	0	0	203	0	0	0	42	0	0	0	0	231	0	0	12	0	385	0	0	2	0	60	0	0	0	0	454	0	0	0	0	0	0	0	0	766	0	0	50	0	0	0	0	0	0	0	0	3	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2647	262	838	1417	17	0	0	0	0	0	312	826	0	0	2	0	0	0	0	0	0	0	61	812	0	53	0	0	1434
3e4d61a867aed34bf87a19302a1a3fc4	817	2397	0	1385	152	0	0	478	1264	0	247	0	457	246	34	22	201	0	7	0	428	40	215	548	46	323	4	401	30	0	0	100	0	0	0	0	115	0	0	4533	401	0	2	0	0	155	0	198	0	110	0	276	0	0	130	749	22	276	1089	87	0	374	0	0	2485	62	0	0	0	0	0	0	516	0	595	39	0	268	0	1706	0	15	0	89	726	0	0	201	480	0	0	402	164	0	326	0	2	324	102	0	714	860	62	166	208	0	514	0	1065	0	1049	0	161	259	0	658	3088	1634	0	0	143	275	0	124	105	208	701	584	3	92	0	0	0	0	0	537	0	101	0	166	0	227	0	0	170	335	0	0	113	1300	0	0	0	1321	292	41	631	0	201	0	0	0	44	764	318	3527	0	0	799	1851	0	164	0	1426	0	568	0	651	0	0	269	946	352	140	0	0	0	1157	0	563	436	0	0	0	214	0	0	34	0	140	530	0	0	827	1145	89	353	0	636	0	662	731	106	0	0	300	647	192	601	978	238	121	14	0	0	0	0	1470	397	2043	951	1904	0	777	120	45	0	0	0	1642	114	846	428	0	0	123
2fad70d2753266e9c321d126e8f743ee	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	13	1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1681	0	0	175	10	0	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dfe15ba6858d8ae7c295959cd022fb9d	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3fb2bd1d3552a70f8bd80d452703e0ee	450	435	0	532	142	0	0	100	54	0	122	0	98	70	52	0	297	0	8	0	216	741	272	265	96	1521	0	313	160	2	0	43	0	0	0	0	135	0	0	350	1091	0	3	0	0	43	0	1483	0	1226	0	140	0	0	290	870	226	175	31	4	0	180	0	2	20	2	0	0	0	3	0	0	656	0	98	530	0	272	0	71	0	0	0	0	688	0	0	71	213	801	0	285	1	0	33	0	3	155	195	0	805	251	381	861	182	0	0	0	227	0	2378	0	0	68	2	139	477	17	0	0	68	0	0	29	0	803	941	771	5	429	0	2	0	0	0	45	0	507	2	74	0	328	0	0	99	92	0	0	114	0	2	0	0	1197	426	0	157	0	610	0	0	0	3	192	327	0	0	0	567	4	0	0	2	441	0	585	0	120	0	0	451	343	346	591	0	0	0	240	0	911	773	0	0	0	268	0	0	134	0	31	47	0	0	685	85	47	194	0	482	0	546	33	262	0	0	408	804	850	162	603	868	72	6	0	0	0	0	69	318	0	336	91	0	214	33	112	0	0	0	1053	82	829	334	0	2	3806
362be41f31fd26be95ae43a8769b91c0	386	2616	0	833	633	3	0	4129	324	4	3443	0	563	150	871	759	7	685	50	0	452	56	377	235	31	314	6381	216	13	3	0	1127	0	0	2	0	1578	0	0	0	1523	0	2	3967	2	103	0	64	0	137	0	441	3	0	380	562	10	219	358	1257	0	256	0	7	1086	0	0	6	0	5	3	0	74	0	2713	2	2	71	0	1024	0	1886	0	405	102	3	0	954	951	134	0	3648	2561	0	1172	0	4	267	684	2	577	356	770	37	2587	0	333	0	793	0	211	2	1147	1184	0	1526	713	3224	3	0	127	262	0	824	89	1111	128	1197	7	471	0	2	0	2	0	1614	0	1663	3	132	0	6	0	0	3016	2187	0	2	11	1017	3	3	0	45	902	0	5490	2	496	0	0	0	15	1511	381	271	0	2	1501	1458	0	122	5	754	0	480	2	74	1	1	748	620	1366	932	0	0	0	376	0	1526	2591	0	0	0	26	2	0	185	0	840	399	0	0	40	93	492	1222	0	376	0	27	819	144	0	3	1052	1188	34	163	77	460	42	45	0	2	0	0	168	444	7190	0	2642	6	46	189	185	0	0	0	514	710	2961	540	3	9	189
672603b18277f76ca24111d88b02c985	326	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	756	0	0	0	0
e772858b8c79efc10065bc1937f37d89	305	135	0	841	52	0	0	880	116	0	92	0	55	23	52	13	76	0	7	0	26	385	209	45	26	37	313	217	4	0	0	2	0	0	0	0	234	0	0	1020	495	0	0	129	0	24	0	446	0	201	0	11	0	0	1	23	0	551	982	79	0	362	0	0	289	3	0	0	0	0	0	0	117	0	157	78	0	33	0	74	0	181	0	124	23	0	0	1115	171	2457	0	257	76	0	38	0	0	15	66	0	326	250	213	66	369	0	2	0	1181	0	343	0	9	51	0	1656	378	3	0	0	47	13	0	7	0	634	234	275	0	9	0	0	0	0	0	119	0	0	0	98	0	59	0	0	99	3117	34	0	0	242	0	0	0	16	165	0	818	0	572	0	0	0	0	1232	38	988	0	0	501	8	0	29	0	127	0	142	0	56	0	0	145	132	72	481	0	0	0	652	0	515	181	0	0	0	20	0	0	0	0	67	236	0	0	137	14	9	49	0	34	0	70	507	32	0	0	278	55	98	152	157	49	4	6	0	0	0	0	449	122	3787	47	0	0	46	171	4	0	0	0	147	1687	231	359	0	0	103
