# Constructed from biom file
OTU ID	sample-13	sample-2	sample-14	sample-28	sample-29	sample-44	sample-17	sample-24	sample-40	sample-42	sample-21	sample-10	sample-15	sample-33	sample-27	sample-46	sample-30	sample-31	sample-45	sample-9	sample-38	sample-25	sample-22	sample-41	sample-12	sample-32	sample-16	sample-3	sample-34	sample-35	sample-36	sample-5	sample-7	sample-18	sample-11	sample-1	sample-20	sample-8	sample-4	sample-23	sample-39	sample-6	sample-43	sample-19	sample-26	sample-37
e2804409b481d67761d834ada5f0f3c0	9625.0	0.0	0.0	7.0	8.0	13.0	237.0	12.0	5.0	8.0	0.0	775.0	7.0	19.0	176.0	5.0	6.0	6.0	5.0	0.0	29.0	7.0	13.0	0.0	4308.0	6.0	332.0	8.0	8.0	9.0	10.0	0.0	0.0	1283.0	377.0	0.0	0.0	0.0	0.0	15.0	112.0	0.0	71.0	265.0	11.0	11.0
f683bbaefff8b6c08f465cc7dec2eed1	6524.0	0.0	0.0	1122.0	23.0	24.0	8.0	18.0	41.0	27.0	15.0	3.0	11.0	177.0	19.0	29.0	66.0	74.0	29.0	1544.0	31.0	21.0	135.0	36.0	0.0	1298.0	0.0	28.0	22.0	18.0	25.0	330.0	9.0	876.0	14.0	470.0	4.0	23.0	4.0	72.0	23.0	2.0	33.0	11.0	31.0	689.0
205c7d2f33bf25d6e9e3e9481d4cb4bc	2129.0	638.0	0.0	0.0	144.0	143.0	2209.0	456.0	0.0	88.0	5.0	1299.0	20.0	828.0	573.0	976.0	202.0	127.0	976.0	603.0	994.0	163.0	2747.0	0.0	0.0	697.0	2603.0	72.0	21228.0	0.0	0.0	493.0	15.0	5175.0	5448.0	17.0	636.0	339.0	733.0	642.0	1351.0	848.0	28.0	170.0	421.0	10.0
13cc61eea7e3732911a077201c13ab25	1699.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.0	0.0	8.0	335.0	0.0	1.0	0.0	0.0	187.0	0.0	0.0	245.0	0.0	1505.0	1.0	0.0	0.0	10.0	0.0	63.0	0.0	0.0	239.0	373.0	0.0	259.0	0.0	3.0	1862.0	0.0	0.0	0.0	23.0	84.0	359.0
88804565eef4766d355e883bccedbb89	1492.0	553.0	0.0	377.0	2127.0	2154.0	420.0	128.0	963.0	126.0	23.0	944.0	0.0	68.0	642.0	313.0	53.0	177.0	313.0	271.0	68.0	20.0	59.0	1865.0	452.0	82.0	11.0	1780.0	22.0	1602.0	1101.0	5986.0	6048.0	568.0	591.0	1283.0	472.0	50.0	546.0	0.0	36.0	601.0	76.0	89.0	104.0	2766.0
c6847a9e2c0432f584c9ced90c724aae	1455.0	0.0	5.0	4.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	484.0	0.0	0.0	201.0	0.0	6.0	5.0	0.0	0.0	22.0	7.0	0.0	2.0	497.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	90.0	0.0	85.0	0.0	17.0	0.0
a0a36b5ad18fe6335ccd3d8a61edf296	1176.0	361.0	2332.0	176.0	349.0	11.0	68.0	73.0	9537.0	459.0	5.0	117.0	853.0	130.0	102.0	2.0	0.0	91.0	2.0	362.0	1331.0	24.0	12.0	5243.0	942.0	16.0	1142.0	20.0	14.0	13.0	5467.0	186.0	168.0	3177.0	858.0	772.0	0.0	193.0	2579.0	63.0	436.0	499.0	384.0	44.0	0.0	1448.0
404b91f546af910b0e494aa0cafe9da8	1052.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	4.0	0.0	2.0	487.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	34.0	0.0	0.0
3308afa944609955b19b4e0f87a839cf	1019.0	0.0	0.0	539.0	8.0	8.0	4.0	17.0	14.0	15.0	18.0	0.0	2.0	24.0	14.0	11.0	18.0	16.0	11.0	480.0	37.0	4.0	49.0	20.0	2.0	195.0	0.0	11.0	8.0	12.0	9.0	27.0	3.0	139.0	3.0	73.0	0.0	8.0	2.0	20.0	25.0	0.0	20.0	2.0	14.0	456.0
a8e60f53ac3d14838e4f22ae38dae0bf	849.0	0.0	0.0	66.0	3.0	3.0	3.0	5.0	5.0	8.0	9.0	0.0	2.0	29.0	3.0	7.0	0.0	4.0	7.0	180.0	9.0	1.0	21.0	6.0	0.0	123.0	0.0	4.0	4.0	10.0	11.0	22.0	4.0	108.0	1.0	49.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	61.0
6649caef91438baa0cc8676f0a9c5e8f	688.0	1381.0	0.0	0.0	0.0	4144.0	44.0	23.0	3028.0	9.0	11.0	0.0	0.0	21.0	0.0	938.0	15.0	0.0	938.0	0.0	91.0	0.0	0.0	5821.0	3225.0	16.0	7.0	457.0	132.0	4177.0	1488.0	40.0	0.0	288.0	126.0	204.0	518.0	0.0	0.0	0.0	59.0	0.0	19.0	147.0	0.0	1825.0
849448b9120469185086aa4b834ec10f	615.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	347.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0
157b716aad6e6ec29aa14c6f3f74aa3a	530.0	1052.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	172.0	3.0	0.0	0.0	3.0	392.0	0.0	100.0	2495.0	0.0	256.0	25.0	0.0	2.0	4.0	1689.0	5.0	0.0	257.0	0.0	4.0	0.0	521.0	633.0	2.0	0.0	351.0	0.0	319.0	131.0	3.0	40.0	395.0	414.0	0.0	22.0	3.0
8d52854b480cd0f26d826dbdbd32a8e8	506.0	188.0	256.0	604.0	231.0	32.0	132.0	128.0	54.0	233.0	20.0	320.0	67.0	4732.0	729.0	20.0	3132.0	129.0	20.0	278.0	1598.0	186.0	61.0	114.0	0.0	9.0	2335.0	59.0	5.0	26.0	1238.0	508.0	2605.0	3785.0	565.0	115.0	5.0	117.0	2573.0	483.0	2436.0	1096.0	52.0	261.0	543.0	169.0
bc1fd36b51f9b4ac76c429515f3dbba4	478.0	0.0	0.0	28.0	0.0	4.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	12.0	7.0	6.0	0.0	0.0	6.0	84.0	9.0	0.0	14.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	48.0	1.0	54.0	0.0	1.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	11.0
57eb003c4a88085eabd485a3a444e6c6	371.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	5.0	0.0	0.0	392.0	0.0	4.0	0.0	0.0	0.0	0.0	178.0	0.0	48.0	0.0	0.0	1429.0	0.0	27.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0
afeae9a1c730cf6ce5013901f91314b1	353.0	34.0	0.0	0.0	4.0	16.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	633.0	0.0	5.0	55.0	20.0	5.0	168.0	11.0	6.0	2.0	0.0	0.0	177.0	0.0	1.0	3.0	3.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	75.0	39.0	6.0	1.0	0.0	20.0	0.0	0.0	10.0
2a0ce589cad236ce43a403555e0e36ff	348.0	1009.0	56.0	608.0	2020.0	21.0	0.0	121.0	615.0	263.0	13.0	782.0	198.0	26.0	608.0	11.0	359.0	969.0	11.0	640.0	13.0	41.0	266.0	629.0	546.0	20.0	7.0	294.0	15.0	25.0	405.0	428.0	0.0	972.0	402.0	765.0	1407.0	203.0	1463.0	480.0	10.0	0.0	279.0	148.0	141.0	580.0
ac5467482ed754d444d782c434a08a9d	331.0	0.0	0.0	22.0	3.0	0.0	0.0	514.0	484.0	0.0	51.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	120.0	166.0	0.0	0.0	0.0	322.0	12.0	0.0	55.0	15.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
977c34492460bda02336adcfa6bcaf5b	300.0	9.0	0.0	49.0	39.0	29.0	137.0	41.0	772.0	39.0	0.0	49.0	9.0	1274.0	27.0	38.0	514.0	52.0	38.0	86.0	25.0	614.0	1.0	76.0	381.0	116.0	58.0	0.0	302.0	0.0	68.0	68.0	49.0	230.0	51.0	85.0	0.0	0.0	23.0	54.0	182.0	122.0	0.0	0.0	0.0	151.0
25f12d8c1419cdd454fa7534f1291591	282.0	0.0	0.0	6.0	0.0	24.0	0.0	0.0	120.0	42.0	4.0	0.0	0.0	11.0	57.0	6.0	6.0	7.0	6.0	0.0	5.0	10.0	9.0	149.0	301.0	4.0	0.0	0.0	5.0	15.0	5.0	98.0	0.0	0.0	0.0	86.0	3.0	0.0	14.0	7.0	2.0	0.0	0.0	0.0	12.0	4.0
90035b5c0f1c548caa5782a630ba1c06	244.0	3.0	81.0	85.0	11.0	4.0	7.0	0.0	46.0	0.0	0.0	2.0	19.0	4.0	6.0	33.0	25.0	0.0	33.0	0.0	8.0	21.0	58.0	791.0	291.0	0.0	3.0	2.0	15.0	382.0	64.0	8.0	8.0	91.0	46.0	14.0	2.0	0.0	22.0	48.0	0.0	2.0	1.0	6.0	0.0	55.0
